,Year,Genre,,Watched,Opinions,Remarks,,,,,,,,Genre
Mosquito,,Action,,,,,,,,,,,,
Blood Surf,,Action,,,,,,,,,,,,
8 Legged Freaks,,Action,,,,,,,,,,,,
Atomic Blonde,,Action,,,,,,,,,,,,
Anna,,Action,,,,,,,,,,,,
Girls Und Panzer is on netflix ps,,,,,,,,,,,,,,
The Old Guard,,,,,Netflix,,,,,,,,,
Gremlins 2,,,,,,,,,,,,,,
The Strangers,,,,,,,,,,,,,,
Ju-On,,,,,,,,,,,,,,
Unsolved Mysteries,,,,,,,,,,,,,,
DARK ,,series,,Y,,,,,,,,,,
Mob Psycho 100,,anime,,Y,,finished OVAs,,,,,,,,
A Whisker Away,,,,,,,,,,,,,,
Quiz Show,,,,,Supermarket Sweep,,,,,,,,,
Python,,,,,,,,,,,,,,
Python 2,,,,,,,,,,,,,,
Ssssssss,,,,,,,,,,,,,,
Lord of War,,,,,,,,,,,,,,
Japan Sinks,,,,Y,,,,,,,,,,
Speed,,,,,,,,,,,,,,
Speed 2,,,,,,,,,,,,,,
smokey and the bandit,,,,,,,,,,,,,,
cannonball,,,,,,,,,,,,,,
Rush Hour,1998,action,,,,,,,,,,,,
Rush Hour 2,2001,action,,,,,,,,,,,,
Rush Hour 3,2007,action,,,,,,,,,,,,
Rush Hour,2016,,,,,,,,,,,,,
who am i?,,,,,,,,,,,,,,
rush hour,,,,,,,,,,,,,,
DRUNKEN MASTER,,,,,,,,,,,,,,
Drunken Master 2,,,,,,,,,,,,,,
KUNG FU YOGA,,,,,watch every jackie chan movie,,,,,,,,,
Jackie Chan Discography,,,,,,,,,,,,,,
shanghai noon,,,,,,,,,,,,,,
shanghai nights,,,,,,,,,,,,,,
Jackie Chan's first Strike,,,,,,,,,,,,,,
Meals on Wheels??,,,,,,,,,,,,,,
Dragon Blade,,,,,,,,,,,,,,
Snake in the Eagle's Shadow,,,,,,,,,,,,,,
Around the World in 80 days,,,,,,,,,,,,,,
Gorgeous,,,,,,,,,,,,,,
Tuxedo,,,,,,,,,,,,,,
Police Story,,,,,,,,,,,,,,
Police Story 2,,,,,,,,,,,,,,
Police Story 2013,,,,,,,,,,,,,,
Rumble in the Bronx,,,,,,,,,,,,,,
Supercop,,,,,,,,,,,,,,
The Young Master,,,,,,,,,,,,,,
Miracles,,,,,,,,,,,,,,
Crime Story,,,,,,,,,,,,,,
1911,,,,,,,,,,,,,,
Dragons Forever,,,,,,,,,,,,,,
The Protector,,,,,,,,,,,,,,
The Foreign,,,,,,,,,,,,,,
The Knights of Shadows,,,,,,,,,,,,,,
The Fearless Hyena,,,,,,,,,,,,,,
Rob-B-Hood,,,,,,,,,,,,,,
Shinjiku Incident,,,,,,,,,,,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,,,,,,,,,,,,,
God of High School,,,,W,up to date,,,,,,,,,
Shin Sekai Yori,,,,,,,,,,,,,,
The Eccentric Family,,,,,,,,,,,,,,
Ittawa Class,,,,W,,,,,,,,,,
The Bartender,,,,Y,,,,,,,,,,
Japan Sinks,,,,Y,,,,,,,,,,
Tower of God,,,,W,,,,,,,,,,
Day after Tomorrow,,,,,anti heat wave,,,,,,,,,
Dead Snow,,,,,anti heat wave,,,,,,,,,
Troll Hunter,,,,,,,,,,,,,,
My Hero Academia,,,,,,,,,,,,,,
Jurassic Park,,,,Y,,,,,,,,,,
Perfect Blue,,,,Y,,,,,,,,,,
Tokyo Godfathers,,,,Y,,,,,,,,,,
Paprika,,,,,,,,,,,,,,
Summer Wars,,,,,,,,,,,,,,
Welcome to the space show,,,,Y,,,,,,,,,,
The Princess and The Pilot,,,,,,,,,,,,,,
between worlds,,,,,,,,,,,,,,
Bill and Ted,1989,,,Y,,,,,,,,,,
Bill and Ted 2,1991,,,Y,,,,,,,,,,
Bill and Ted 3,2020,,,Y,,,,,,,,,,
Top Gun,,,,Y,,,,,,,,,,
Street Fighter Live action,,,,,,,,,,,,,,
Cocoon,,,,,,,,,,,,,,
Hard Target,,,,,,,,,,,,,,
Re-animator,,,,,,,,,,,,,,
Guns Akimbo,,,,,,,,,,,,,,
Hard To Kill,,,,Y,,,,,,,,,,
Vampire's Kiss,,,,Y,,,,,,,,,,
The Babysitter,,,,,,,,,,,,,,
Battle Royale,2000,,,,,https://www.netflix.com/title/80164456,,,,,,,,
Battle Royale II,2003,,,,,,,,,,,,,
Winchester,,,,,,,,,,,,,,
Face/Off,,,,,Y,,,,,,,,,
Office Space,,,,,,,,,,,,,,
Blind Fury,,,,,,,,,,,,,,
The Takle of Zatoichi,,,,,,,,,,,,,,
X Files,,,,W,,,,,,,,,,
God of High School,,,,W,,,,,,,,,,
Alien Vs Cowboys,,,,,,,,,,,,,,
Lawmen,,,,Y,cringe,disappointed uncle drives the speed limit,,,,,,,,
Rocky Horror Picture Show,1975,"Horror, Musical",,,,,,,,,,,,
2 Lava 2 Lantula,,,,,,,,,,,,,,
Bats ,1999,,,,,,,,,,,,,
Sharkansas Women's Prison Massacre,,,,,,,,,,,,,,
Stealth,,,,Y,,,,,,,,,,
Godzilla animated series,,,,,,3.5,<-,,,,,,,
Visitors Q,,,,Y,oh no,,,,,,,,,
Apocalypto,,,,Y,,,,,,,,,,
Them! ,,,,,,,,,,,,,,
antebellum,,,,,,,,,,,,,,
Howling II: Stirba - Werewolf Bitch ,,,,,,,,,,,,,,
Ninja 3 the dominationi,,,,,,,,,,,,,,
Zodiac,,,,Y,,,,,,,,,,
